condition,length_bin,n,F1,median_len
few,"(8.999, 39.0]",183,0.8050314465408805,24.0
few,"(39.0, 61.0]",179,0.8976377952755905,50.0
few,"(61.0, 100.0]",192,0.7795275590551181,77.0
few,"(100.0, 162.0]",168,0.8744939271255061,124.0
few,"(162.0, 884.0]",183,0.9040247678018576,226.0
zero,"(8.999, 39.0]",69,0.8181818181818182,22.0
zero,"(39.0, 61.0]",59,0.7631578947368421,50.0
zero,"(61.0, 100.0]",69,0.5135135135135135,80.0
zero,"(100.0, 162.0]",55,0.810126582278481,125.0
zero,"(162.0, 884.0]",57,0.8314606741573034,241.0
