run_file,few_shot_k,F1,Accuracy,Precision,Recall,log_k
fewshot_metrics_2025-08-15_19-30-55 copy.csv,8,0.8444444444444444,0.7741935483870968,0.95,0.76,2.0794415416798357
fewshot_metrics_2025-08-15_19-33-28 copy.csv,8,0.851063829787234,0.7741935483870968,0.9523809523809524,0.7692307692307693,2.0794415416798357
fewshot_metrics_2025-08-15_19-39-22 copy.csv,8,0.8571428571428571,0.7741935483870968,0.9545454545454546,0.7777777777777778,2.0794415416798357
fewshot_metrics_2025-08-15_19-42-18 copy.csv,8,0.7777777777777778,0.7419354838709677,0.875,0.7,2.0794415416798357
fewshot_metrics_2025-08-15_19-44-21 copy.csv,8,0.85,0.8064516129032258,1.0,0.7391304347826086,2.0794415416798357
fewshot_metrics_2025-08-15_19-46-30 copy.csv,8,0.8292682926829268,0.7741935483870968,0.9444444444444444,0.7391304347826086,2.0794415416798357
fewshot_metrics_2025-08-15_19-48-09 copy.csv,8,0.6060606060606061,0.5806451612903226,0.9090909090909092,0.4545454545454545,2.0794415416798357
fewshot_metrics_2025-08-15_19-49-30 copy.csv,8,0.8648648648648649,0.8387096774193549,0.8888888888888888,0.8421052631578947,2.0794415416798357
fewshot_metrics_2025-08-15_19-54-08 copy.csv,8,0.8292682926829268,0.7741935483870968,1.0,0.7083333333333334,2.0794415416798357
fewshot_metrics_2025-08-15_19-56-36 copy.csv,8,0.8205128205128205,0.7741935483870968,0.9411764705882352,0.7272727272727273,2.0794415416798357
fewshot_metrics_2025-08-15_20-02-36 copy.csv,20,0.8095238095238095,0.7419354838709677,1.0,0.68,2.995732273553991
fewshot_metrics_2025-08-15_20-08-47 copy.csv,20,0.8292682926829268,0.7741935483870968,0.85,0.8095238095238095,2.995732273553991
fewshot_metrics_2025-08-15_20-12-40 copy.csv,20,0.8636363636363636,0.8064516129032258,0.95,0.7916666666666666,2.995732273553991
fewshot_metrics_2025-08-15_20-20-21 copy.csv,20,0.8444444444444444,0.7741935483870968,1.0,0.7307692307692307,2.995732273553991
fewshot_metrics_2025-08-15_20-23-29 copy.csv,20,0.7428571428571429,0.7096774193548387,0.9285714285714286,0.6190476190476191,2.995732273553991
fewshot_metrics_2025-08-15_23-25-31 copy.csv,20,0.8888888888888888,0.8387096774193549,1.0,0.8,2.995732273553991
fewshot_metrics_2025-08-15_23-42-19 copy.csv,20,0.8484848484848485,0.8387096774193549,1.0,0.7368421052631579,2.995732273553991
fewshot_metrics_2025-08-15_23-53-30 copy.csv,20,0.8695652173913043,0.8064516129032258,0.9523809523809524,0.8,2.995732273553991
fewshot_metrics_2025-08-16_00-05-35 copy.csv,20,0.9642857142857144,0.935483870967742,1.0,0.9310344827586208,2.995732273553991
fewshot_metrics_2025-08-16_00-11-14 copy.csv,20,0.8936170212765957,0.8387096774193549,0.9130434782608696,0.875,2.995732273553991
fewshot_metrics_2025-08-16_00-15-46 copy.csv,143,0.8571428571428571,0.8461538461538461,0.8571428571428571,0.8571428571428571,4.962844630259907
fewshot_metrics_2025-08-16_00-39-41 copy.csv,143,0.8888888888888888,0.8461538461538461,0.9411764705882352,0.8421052631578947,4.962844630259907
fewshot_metrics_2025-08-16_10-33-10 copy.csv,143,0.9230769230769232,0.896551724137931,0.9,0.9473684210526316,4.962844630259907
fewshot_metrics_2025-08-16_11-23-43 copy.csv,143,0.9696969696969696,0.9629629629629628,0.9411764705882352,1.0,4.962844630259907
fewshot_metrics_2025-08-16_11-47-16 copy.csv,143,0.8372093023255814,0.7666666666666667,0.8181818181818182,0.8571428571428571,4.962844630259907
fewshot_metrics_2025-08-16_12-12-42 copy.csv,143,0.875,0.8064516129032258,0.875,0.875,4.962844630259907
fewshot_metrics_2025-08-16_12-41-09 copy.csv,143,0.9333333333333332,0.8888888888888888,0.9545454545454546,0.9130434782608696,4.962844630259907
fewshot_metrics_2025-08-16_13-00-23 copy.csv,143,0.8636363636363636,0.8,0.95,0.7916666666666666,4.962844630259907
fewshot_metrics_2025-08-16_13-26-23 copy.csv,143,0.9444444444444444,0.9310344827586208,1.0,0.8947368421052632,4.962844630259907
fewshot_metrics_2025-08-16_13-47-11 copy.csv,143,0.8837209302325582,0.8333333333333334,1.0,0.7916666666666666,4.962844630259907
